test_id,change_id,actually_affected,reason
T0001,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0002,CHG001,1,"Scenario CHG001: Direct, dependency or module association"
T0003,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0004,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0005,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0006,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0007,CHG001,1,"Scenario CHG001: Direct, dependency or module association"
T0008,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0009,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0010,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0011,CHG001,1,"Scenario CHG001: Direct, dependency or module association"
T0012,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0013,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0014,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0015,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0016,CHG001,1,"Scenario CHG001: Direct, dependency or module association"
T0017,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0018,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0019,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0020,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0021,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0022,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0023,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0024,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0025,CHG001,1,"Scenario CHG001: Direct, dependency or module association"
T0026,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0027,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0028,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0029,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0030,CHG001,1,"Scenario CHG001: Direct, dependency or module association"
T0031,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0032,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0033,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0034,CHG001,1,"Scenario CHG001: Direct, dependency or module association"
T0035,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0036,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0037,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0038,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0039,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0040,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0041,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0042,CHG001,0,"Scenario CHG001: Direct, dependency or module association"
T0043,CHG001,1,"Scenario CHG001: Direct, dependency or module association"
