test_id,failure_date,module,device,os_version,severity,error_type,resolved
T0647,2025-02-11,Payment,Samsung A34,Android 13,CRITICAL,AssertionError,1
T0538,2025-12-06,FraudDetection,Pixel 7,Android 14,CRITICAL,NetworkError,1
T0053,2025-03-02,OTP,iPhone 14,iOS 17,MEDIUM,ValueError,1
T0574,2025-03-24,OTP,Samsung A34,Android 13,CRITICAL,TimeoutError,1
T0457,2025-12-11,UPI,Samsung S24,Android 15,MEDIUM,TimeoutError,0
T0785,2025-02-16,FraudDetection,iPhone 15,iOS 18,MEDIUM,NullPointerException,0
T0431,2025-06-20,Authentication,Pixel 7,Android 14,HIGH,AuthError,0
T0208,2025-07-29,Authorization,Samsung S24,Android 15,HIGH,AssertionError,1
T0211,2025-10-29,FraudDetection,iPhone 14,iOS 17,HIGH,AssertionError,0
T0217,2025-12-02,Authorization,Pixel 7,Android 14,HIGH,AuthError,0
T0245,2025-02-19,AccountSecurity,iPhone 15,iOS 18,CRITICAL,AssertionError,1
T0388,2025-09-29,Payment,Pixel 8,Android 15,CRITICAL,NullPointerException,0
T0421,2025-02-27,OTP,iPhone 14,iOS 17,HIGH,AuthError,0
T0358,2025-11-04,Payment,iPhone 14,iOS 17,HIGH,TimeoutError,1
T0272,2025-12-13,Transaction,Samsung S24,Android 15,HIGH,AuthError,1
T0870,2025-11-18,FraudDetection,Samsung A54,Android 14,MEDIUM,AuthError,1
T0420,2025-04-30,AccountSecurity,Pixel 7,Android 14,MEDIUM,AuthError,0
T0695,2025-12-20,UPI,Pixel 7,Android 14,CRITICAL,ValueError,0
T0140,2025-10-22,Authorization,iPhone 14,iOS 17,CRITICAL,AuthError,0
T0538,2025-02-12,FraudDetection,Pixel 7,Android 14,MEDIUM,ValueError,0
T0381,2025-07-09,AccountSecurity,iPhone 15,iOS 18,MEDIUM,NetworkError,1
T0045,2025-10-01,UPI,Pixel 8,Android 15,HIGH,TimeoutError,1
T0422,2025-06-20,AccountSecurity,Pixel 7,Android 14,CRITICAL,TimeoutError,0
T0335,2025-04-07,Transaction,Pixel 8,Android 15,MEDIUM,NetworkError,1
T0060,2025-12-23,Payment,iPhone 15,iOS 18,HIGH,NullPointerException,0
T0591,2025-05-03,Transaction,Samsung A34,Android 13,HIGH,ValueError,0
T0254,2025-03-03,Authorization,Samsung S24,Android 15,HIGH,ValueError,0
T0855,2025-06-14,Authentication,Samsung A34,Android 13,HIGH,AssertionError,0
T0575,2025-05-10,AccountSecurity,Samsung A34,Android 13,HIGH,ValueError,0
